date,base_price,unit
2021-09-22,0.28,US$/Wp
2021-09-22,0.28,US$/Wp
2021-09-22,0.24,US$/Wp
2021-09-22,0.245,US$/Wp
2021-09-22,0.245,US$/Wp
2021-09-22,0.245,US$/Wp
2021-09-29,0.197,US$/Wp
2021-09-29,0.28,US$/Wp
2021-09-29,0.28,US$/Wp
2021-09-29,0.245,US$/Wp
2021-09-29,0.25,US$/Wp
2021-09-29,0.25,US$/Wp
2021-09-29,0.25,US$/Wp
2021-10-06,0.203,US$/Wp
2021-10-06,0.28,US$/Wp
2021-10-06,0.28,US$/Wp
2021-10-06,0.245,US$/Wp
2021-10-06,0.25,US$/Wp
2021-10-06,0.25,US$/Wp
2021-10-06,0.25,US$/Wp
2021-10-13,0.218,US$/Wp
2021-10-13,0.33,US$/Wp
2021-10-13,0.33,US$/Wp
2021-10-13,0.27,US$/Wp
2021-10-13,0.275,US$/Wp
2021-10-13,0.275,US$/Wp
2021-10-13,0.275,US$/Wp
2021-10-20,0.219,US$/Wp
2021-10-20,0.33,US$/Wp
2021-10-20,0.33,US$/Wp
2021-10-20,0.275,US$/Wp
2021-10-20,0.275,US$/Wp
2021-10-20,0.28,US$/Wp
2021-10-20,0.28,US$/Wp
2021-10-27,0.218,US$/Wp
2021-10-27,0.33,US$/Wp
2021-10-27,0.33,US$/Wp
2021-10-27,0.275,US$/Wp
2021-10-27,0.275,US$/Wp
2021-10-27,0.28,US$/Wp
2021-10-27,0.28,US$/Wp
2021-11-03,0.217,US$/Wp
2021-11-03,0.33,US$/Wp
2021-11-03,0.33,US$/Wp
2021-11-03,0.275,US$/Wp
2021-11-03,0.275,US$/Wp
2021-11-03,0.28,US$/Wp
2021-11-03,0.28,US$/Wp
2021-11-10,0.216,US$/Wp
2021-11-10,0.33,US$/Wp
2021-11-10,0.33,US$/Wp
2021-11-10,0.275,US$/Wp
2021-11-10,0.28,US$/Wp
2021-11-10,0.28,US$/Wp
2021-11-10,0.28,US$/Wp
2021-11-17,0.214,US$/Wp
2021-11-17,0.3,US$/Wp
2021-11-17,0.33,US$/Wp
2021-11-17,0.33,US$/Wp
2021-11-17,0.275,US$/Wp
2021-11-17,0.28,US$/Wp
2021-11-17,0.28,US$/Wp
2021-11-17,0.28,US$/Wp
2021-11-24,0.213,US$/Wp
2021-11-24,0.3,US$/Wp
2021-11-24,0.33,US$/Wp
2021-11-24,0.33,US$/Wp
2021-11-24,0.275,US$/Wp
2021-11-24,0.28,US$/Wp
2021-11-24,0.28,US$/Wp
2021-11-24,0.28,US$/Wp
2021-12-01,0.213,US$/Wp
2021-12-01,0.3,US$/Wp
2021-12-01,0.33,US$/Wp
2021-12-01,0.33,US$/Wp
2021-12-01,0.275,US$/Wp
2021-12-01,0.28,US$/Wp
2021-12-01,0.28,US$/Wp
2021-12-01,0.28,US$/Wp
2021-12-08,0.206,US$/Wp
2021-12-08,0.313,US$/Wp
2021-12-08,0.316,US$/Wp
2021-12-08,0.275,US$/Wp
2021-12-08,0.28,US$/Wp
2021-12-08,0.28,US$/Wp
2021-12-08,0.28,US$/Wp
2021-12-15,0.204,US$/Wp
2021-12-15,0.3,US$/Wp
2021-12-15,0.3,US$/Wp
2021-12-15,0.27,US$/Wp
2021-12-15,0.275,US$/Wp
2021-12-15,0.275,US$/Wp
2021-12-15,0.275,US$/Wp
2021-12-22,0.203,US$/Wp
2021-12-22,0.3,US$/Wp
2021-12-22,0.29,US$/Wp
2021-12-22,0.27,US$/Wp
2021-12-22,0.275,US$/Wp
2021-12-22,0.275,US$/Wp
2021-12-22,0.275,US$/Wp
2021-12-29,0.203,US$/Wp
2021-12-29,0.29,US$/Wp
2021-12-29,0.29,US$/Wp
2021-12-29,0.27,US$/Wp
2021-12-29,0.275,US$/Wp
2021-12-29,0.275,US$/Wp
2021-12-29,0.275,US$/Wp
2022-01-05,0.202,US$/Wp
2022-01-05,0.29,US$/Wp
2022-01-05,0.29,US$/Wp
2022-01-05,0.27,US$/Wp
2022-01-05,0.275,US$/Wp
2022-01-05,0.275,US$/Wp
2022-01-05,0.275,US$/Wp
2022-01-12,0.201,US$/Wp
2022-01-12,0.29,US$/Wp
2022-01-12,0.29,US$/Wp
2022-01-12,0.27,US$/Wp
2022-01-12,0.275,US$/Wp
2022-01-12,0.275,US$/Wp
2022-01-19,0.201,US$/Wp
2022-01-19,0.29,US$/Wp
2022-01-19,0.29,US$/Wp
2022-01-19,0.27,US$/Wp
2022-01-19,0.275,US$/Wp
2022-01-19,0.275,US$/Wp
2022-01-26,0.201,US$/Wp
2022-01-26,0.29,US$/Wp
2022-01-26,0.29,US$/Wp
2022-01-26,0.27,US$/Wp
2022-01-26,0.275,US$/Wp
2022-01-26,0.275,US$/Wp
2022-02-02,0.2,US$/Wp
2022-02-02,0.29,US$/Wp
2022-02-02,0.29,US$/Wp
2022-02-02,0.27,US$/Wp
2022-02-02,0.275,US$/Wp
2022-02-02,0.275,US$/Wp
2022-02-09,0.2,US$/Wp
2022-02-09,0.3,US$/Wp
2022-02-09,0.3,US$/Wp
2022-02-09,0.27,US$/Wp
2022-02-09,0.275,US$/Wp
2022-02-09,0.275,US$/Wp
2022-02-16,0.199,US$/Wp
2022-02-16,0.3,US$/Wp
2022-02-16,0.3,US$/Wp
2022-02-16,0.27,US$/Wp
2022-02-16,0.275,US$/Wp
2022-02-16,0.275,US$/Wp
2022-02-23,0.203,US$/Wp
2022-02-23,0.3,US$/Wp
2022-02-23,0.3,US$/Wp
2022-02-23,0.27,US$/Wp
2022-02-23,0.275,US$/Wp
2022-02-23,0.275,US$/Wp
2022-03-02,0.203,US$/Wp
2022-03-02,0.3,US$/Wp
2022-03-02,0.3,US$/Wp
2022-03-02,0.265,US$/Wp
2022-03-02,0.27,US$/Wp
2022-03-02,0.27,US$/Wp
2022-03-02,0.275,US$/Wp
2022-03-02,0.275,US$/Wp
2022-03-09,0.203,US$/Wp
2022-03-09,0.3,US$/Wp
