date,base_price
2021-10-20,0.275
2021-10-20,0.275
2021-10-20,0.28
2021-10-20,0.28
2021-10-27,0.218
2021-10-27,0.33
2021-10-27,0.33
2021-10-27,0.275
2021-10-27,0.275
2021-10-27,0.28
2021-10-27,0.28
2021-11-03,0.217
2021-11-03,0.33
2021-11-03,0.33
2021-11-03,0.275
2021-11-03,0.275
2021-11-03,0.28
2021-11-03,0.28
2021-11-10,0.216
2021-11-10,0.33
2021-11-10,0.33
2021-11-10,0.275
2021-11-10,0.28
2021-11-10,0.28
2021-11-10,0.28
2021-11-17,0.214
2021-11-17,0.3
2021-11-17,0.33
2021-11-17,0.33
2021-11-17,0.275
2021-11-17,0.28
2021-11-17,0.28
2021-11-17,0.28
2021-11-24,0.213
2021-11-24,0.3
2021-11-24,0.33
2021-11-24,0.33
2021-11-24,0.275
2021-11-24,0.28
2021-11-24,0.28
2021-11-24,0.28
2021-12-01,0.213
2021-12-01,0.3
2021-12-01,0.33
2021-12-01,0.33
2021-12-01,0.275
2021-12-01,0.28
2021-12-01,0.28
2021-12-01,0.28
2021-12-08,0.206
2021-12-08,0.313
2021-12-08,0.316
2021-12-08,0.275
2021-12-08,0.28
2021-12-08,0.28
2021-12-08,0.28
2021-12-15,0.204
2021-12-15,0.3
2021-12-15,0.3
2021-12-15,0.27
2021-12-15,0.275
2021-12-15,0.275
2021-12-15,0.275
2021-12-22,0.203
2021-12-22,0.3
2021-12-22,0.29
2021-12-22,0.27
2021-12-22,0.275
2021-12-22,0.275
2021-12-22,0.275
2021-12-29,0.203
2021-12-29,0.29
2021-12-29,0.29
2021-12-29,0.27
2021-12-29,0.275
2021-12-29,0.275
2021-12-29,0.275
2022-01-05,0.202
2022-01-05,0.29
2022-01-05,0.29
2022-01-05,0.27
2022-01-05,0.275
2022-01-05,0.275
2022-01-05,0.275
2022-01-12,0.201
2022-01-12,0.29
2022-01-12,0.29
2022-01-12,0.27
2022-01-12,0.275
2022-01-12,0.275
2022-01-19,0.201
2022-01-19,0.29
2022-01-19,0.29
2022-01-19,0.27
2022-01-19,0.275
2022-01-19,0.275
2022-01-26,0.201
2022-01-26,0.29
2022-01-26,0.29
2022-01-26,0.27
2022-01-26,0.275
2022-01-26,0.275
2022-02-02,0.2
2022-02-02,0.29
2022-02-02,0.29
2022-02-02,0.27
2022-02-02,0.275
2022-02-02,0.275
2022-02-09,0.2
2022-02-09,0.3
2022-02-09,0.3
2022-02-09,0.27
2022-02-09,0.275
2022-02-09,0.275
2022-02-16,0.199
2022-02-16,0.3
2022-02-16,0.3
2022-02-16,0.27
2022-02-16,0.275
2022-02-16,0.275
2022-02-23,0.203
2022-02-23,0.3
2022-02-23,0.3
2022-02-23,0.27
2022-02-23,0.275
2022-02-23,0.275
2022-03-02,0.203
2022-03-02,0.3
2022-03-02,0.3
2022-03-02,0.265
2022-03-02,0.27
2022-03-02,0.27
2022-03-02,0.275
