date,base_price,unit
2020-06-24,0.196,US$/Wp
2020-07-01,0.173,US$/Wp
2020-07-01,0.195,US$/Wp
2020-07-08,0.171,US$/Wp
2020-07-08,0.194,US$/Wp
2020-07-22,0.17,US$/Wp
2020-07-22,0.193,US$/Wp
2020-07-29,0.17,US$/Wp
2020-07-29,0.194,US$/Wp
2020-08-05,0.17,US$/Wp
2020-08-05,0.195,US$/Wp
2020-08-12,0.17,US$/Wp
2020-08-12,0.196,US$/Wp
2020-08-19,0.17,US$/Wp
2020-08-19,0.196,US$/Wp
2020-09-02,0.17,US$/Wp
2020-09-02,0.196,US$/Wp
2020-09-16,0.174,US$/Wp
2020-09-16,0.203,US$/Wp
2020-09-23,0.174,US$/Wp
2020-09-23,0.205,US$/Wp
2020-09-30,0.174,US$/Wp
2020-09-30,0.205,US$/Wp
2020-10-07,0.174,US$/Wp
2020-10-07,0.205,US$/Wp
2020-10-14,0.174,US$/Wp
2020-10-14,0.205,US$/Wp
2020-10-21,0.174,US$/Wp
2020-10-21,0.205,US$/Wp
2020-10-28,0.174,US$/Wp
2020-10-28,0.205,US$/Wp
2020-11-04,0.174,US$/Wp
2020-11-04,0.205,US$/Wp
2020-11-11,0.174,US$/Wp
2020-11-11,0.208,US$/Wp
2020-11-18,0.174,US$/Wp
2020-11-18,0.21,US$/Wp
2020-11-25,0.174,US$/Wp
2020-11-25,0.212,US$/Wp
2020-12-02,0.174,US$/Wp
2020-12-02,0.213,US$/Wp
2020-12-09,0.174,US$/Wp
2020-12-09,0.213,US$/Wp
2020-12-23,0.174,US$/Wp
2020-12-23,0.213,US$/Wp
2020-12-30,0.174,US$/Wp
2020-12-30,0.213,US$/Wp
2021-01-06,0.174,US$/Wp
2021-01-06,0.213,US$/Wp
2021-01-13,0.174,US$/Wp
2021-01-13,0.213,US$/Wp
2021-01-20,0.174,US$/Wp
2021-01-20,0.213,US$/Wp
2021-01-27,0.174,US$/Wp
2021-01-27,0.213,US$/Wp
2021-02-03,0.174,US$/Wp
2021-02-03,0.213,US$/Wp
2021-02-10,0.174,US$/Wp
2021-02-10,0.213,US$/Wp
2021-02-17,0.174,US$/Wp
2021-02-17,0.213,US$/Wp
2021-02-24,0.174,US$/Wp
2021-02-24,0.213,US$/Wp
2021-03-03,0.174,US$/Wp
2021-03-03,0.215,US$/Wp
2021-03-10,0.18,US$/Wp
2021-03-10,0.216,US$/Wp
2021-03-17,0.176,US$/Wp
2021-03-17,0.217,US$/Wp
2021-03-24,0.176,US$/Wp
2021-03-24,0.218,US$/Wp
2021-03-31,0.176,US$/Wp
2021-03-31,0.218,US$/Wp
2021-04-07,0.188,US$/Wp
2021-04-07,0.218,US$/Wp
2021-04-14,0.193,US$/Wp
2021-04-14,0.218,US$/Wp
2021-04-21,0.195,US$/Wp
2021-04-21,0.218,US$/Wp
2021-04-28,0.198,US$/Wp
2021-04-28,0.218,US$/Wp
2021-05-05,0.2,US$/Wp
2021-05-05,0.218,US$/Wp
2021-05-12,0.202,US$/Wp
2021-05-12,0.22,US$/Wp
2021-05-19,0.204,US$/Wp
2021-05-19,0.223,US$/Wp
2021-05-26,0.206,US$/Wp
2021-05-26,0.227,US$/Wp
2021-06-02,0.209,US$/Wp
2021-06-02,0.233,US$/Wp
2021-06-09,0.213,US$/Wp
2021-06-09,0.237,US$/Wp
2021-06-16,0.213,US$/Wp
2021-06-16,0.24,US$/Wp
2021-06-23,0.213,US$/Wp
2021-06-23,0.24,US$/Wp
2021-06-30,0.213,US$/Wp
2021-06-30,0.24,US$/Wp
2021-07-07,0.213,US$/Wp
2021-07-07,0.24,US$/Wp
2021-07-14,0.213,US$/Wp
2021-07-14,0.24,US$/Wp
2021-07-21,0.213,US$/Wp
2021-07-21,0.24,US$/Wp
2021-07-28,0.213,US$/Wp
2021-07-28,0.24,US$/Wp
2021-08-04,0.21,US$/Wp
2021-08-04,0.24,US$/Wp
2021-08-11,0.21,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-11,0.21,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-18,0.21,US$/Wp
2021-08-18,0.24,US$/Wp
2021-08-25,0.21,US$/Wp
2021-08-25,0.24,US$/Wp
2021-09-01,0.21,US$/Wp
2021-09-01,0.24,US$/Wp
2021-09-08,0.24,US$/Wp
2021-09-15,0.24,US$/Wp
2021-09-22,0.245,US$/Wp
2021-09-29,0.25,US$/Wp
2021-10-06,0.25,US$/Wp
2021-10-13,0.27,US$/Wp
2021-10-20,0.28,US$/Wp
2021-10-27,0.28,US$/Wp
2021-11-03,0.28,US$/Wp
2021-11-10,0.28,US$/Wp
2021-11-17,0.28,US$/Wp
2021-11-24,0.28,US$/Wp
2021-12-01,0.28,US$/Wp
2021-12-08,0.28,US$/Wp
2021-12-15,0.275,US$/Wp
2021-12-22,0.275,US$/Wp
2021-12-29,0.275,US$/Wp
2022-01-05,0.275,US$/Wp
2022-01-12,0.275,US$/Wp
2022-01-19,0.27,US$/Wp
2022-01-26,0.27,US$/Wp
2022-02-02,0.27,US$/Wp
2022-02-09,0.27,US$/Wp
2022-02-16,0.27,US$/Wp
